M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
488.409799,457.6850864,467.2600127,472.757253,444.3466361,450.5542739,464.0533778,436.4439828,450.5542739
489.057834,458.1095076,467.6701058,473.6967435,444.7387585,450.9394234,464.9916316,436.8261211,450.9394234
489.568559,458.5347901,468.0927899,474.3730995,445.135596,451.337114,465.663809,437.2130321,451.337114
490.0457688,458.9619586,468.5244293,474.9853272,445.5386107,451.7453362,466.2713692,437.6061671,451.7453362
490.5112825,459.3921319,468.9652534,475.5771673,445.950122,452.1662347,466.8583147,438.0078688,452.1662347
490.9715594,459.8260321,469.414212,476.1618155,446.3716087,452.6003506,467.4377602,438.4195744,452.6003506
491.4296551,460.2640241,469.8699047,476.7451253,446.8037906,453.0473938,468.0158451,438.8420288,453.0473938
491.887087,460.7061753,470.3309101,477.3299511,447.2468249,453.5065835,468.5952909,439.2753668,453.5065835
492.3443876,461.1523448,470.7958989,477.9176565,447.7003765,453.9768679,469.1774649,439.7192905,453.9768679
492.8016457,461.6022416,471.2637121,478.508194,448.1638577,454.4570723,469.7624318,440.1732014,454.4570723
493.2585707,462.0554869,471.7333614,479.1011566,448.6364881,454.9459986,470.3497057,440.6363299,454.9459986
493.7149441,462.5116548,472.2040218,479.6959465,449.1174079,455.4424742,470.9387624,441.107804,455.4424742
494.1704464,462.9703026,472.675008,480.291712,449.6057224,455.9453927,471.5287941,441.5867296,455.9453927
494.6244393,463.4309922,473.1457578,480.8877449,450.1005522,456.4537311,472.1190216,442.0722133,456.4537311
495.0766972,463.8933007,473.6158107,481.4830577,450.6010254,456.9665541,472.7085292,442.5633954,456.9665541
495.5269408,464.3568294,474.0847961,482.0770115,451.1063418,457.4830191,473.2966235,443.0594625,457.4830191
495.9745792,464.8212064,474.5524057,482.6689871,451.615747,458.0023741,473.8826136,443.5596638,458.0023741
496.4195887,465.286091,475.0183957,483.2581223,452.1285448,458.5239441,474.4659675,444.0633012,458.5239441
496.8615779,465.7511741,475.4825645,483.8440531,452.6441012,459.0471338,475.0460521,444.5697425,459.0471338
497.3002725,466.2161676,475.9447553,484.4263826,453.1618397,459.5714133,475.6224391,445.0784087,459.5714133
497.7356641,466.6808229,476.4048361,485.0044369,453.6812396,460.0963147,476.1946583,445.588778,460.0963147
498.1674111,467.1449095,476.8627054,485.5780298,454.2018288,460.6214246,476.7624294,446.1003823,460.6214246
498.5954925,467.6082218,477.3182833,486.1469717,454.7231879,461.1463812,477.3254854,446.6127936,461.1463812
499.0198111,468.0705773,477.771499,486.7107586,455.2449302,461.6708561,477.8835487,447.1256312,461.6708561
499.4402146,468.5318106,478.2223013,487.2693558,455.7667138,462.1945669,478.4363987,447.6385521,462.1945669
499.8566858,468.9917762,478.670651,487.8227086,456.2882382,462.717263,478.983891,448.1512548,462.717263
500.2691389,469.4503457,479.1165133,488.3703883,456.8092303,463.2387216,479.5258894,448.6634672,463.2387216
500.6776363,469.9074029,479.5598683,488.9126057,457.329448,463.7587499,480.0624028,449.1749433,463.7587499
501.0820252,470.362843,480.0006952,489.4491571,457.8486744,464.2771777,480.5932532,449.6854678,464.2771777
501.4823887,470.8165783,480.4389816,489.9799179,458.3667147,464.7938528,481.1184417,450.1948438,464.7938528
501.8787715,471.2685274,480.8747176,490.5050841,458.883397,465.308644,481.6378806,450.7029007,465.308644
502.2709887,471.718619,481.3078958,491.0244326,459.3985654,465.8214321,482.1516355,451.2094832,465.8214321
502.6593057,472.1667839,481.7385149,491.5380499,459.9120879,466.3321167,482.6597254,451.7144578,466.3321167
503.0435965,472.6129827,482.1665743,492.0460003,460.4238419,466.8406078,483.1621154,452.2177014,466.8406078
503.4238612,473.0571665,482.592079,492.5482336,460.9337212,467.3468262,483.6588166,452.7191058,467.3468262
503.8002986,473.4992938,483.0150291,493.0448178,461.4416312,467.8507021,484.1498793,453.2185782,467.8507021
504.1727346,473.9393281,483.4354272,493.5357529,461.9474879,468.3521598,484.6353366,453.7160346,468.3521598
504.5413355,474.3772493,483.8532821,494.0212141,462.4512181,468.8511641,485.1153285,454.211402,468.8511641
504.9061245,474.8130164,484.2685988,494.5010681,462.9527573,469.3476819,485.5897922,454.7046149,469.3476819
505.2671164,475.2466069,484.6813892,494.9754759,463.45205,469.8416682,486.0588327,455.1956168,469.8416682
505.6243868,475.6780041,485.0916587,495.444581,463.9490444,470.3330862,486.522459,455.6843584,470.3330862
505.9779113,476.1071928,485.4994167,495.9082001,464.4436986,470.8219072,486.9807939,456.1707968,470.8219072
506.3278496,476.5341605,485.9046724,496.3666748,464.9359757,471.3081037,487.4339359,456.654897,471.3081037
506.6741213,476.9589,486.3074363,496.8199296,465.425846,471.791659,487.8819161,457.1366218,471.791659
507.0168443,477.3814015,486.707719,497.2679757,465.9132779,472.2725546,488.3247288,457.6159486,472.2725546
507.3561175,477.8016609,487.1055333,497.7110615,466.3982534,472.7507769,488.7624354,458.0928529,472.7507769
507.6918011,478.2196639,487.5008892,498.1490712,466.8807525,473.2263151,489.1952744,458.567317,473.2263151
508.0241664,478.6354248,487.8937991,498.5821834,467.3607596,473.6991578,489.6232564,459.0393248,473.6991578
508.3531159,479.0489417,488.2842736,499.0104785,467.8382632,474.1693018,490.0463744,459.5088642,474.1693018
508.6787092,479.4602153,488.6723254,499.433953,468.313252,474.6367409,490.4647357,459.975925,474.6367409
509.0011044,479.8692475,489.0579665,499.8527224,468.7857198,475.1014728,490.8783143,460.4404994,475.1014728
509.3201732,480.2760414,489.441211,500.2668149,469.2556627,475.563496,491.2873903,460.9025826,475.563496
509.636067,480.6806012,489.8220716,500.6763969,469.7230767,476.0228117,491.6919342,461.3621705,476.0228117
509.9488464,481.0829313,490.1557925,501.0813988,470.187958,476.479421,492.0919281,461.8192625,476.479421
510.2584872,481.4830374,490.2170834,501.4819807,470.6503096,476.933327,492.4874317,462.273858,476.933327
510.5650816,481.8809261,490.2987153,501.878249,471.1101319,477.3845349,492.8786541,462.72595,477.3845349
510.8686272,482.2766041,490.400004,502.2700772,471.5674256,477.833049,493.2656509,463.1755635,477.833049
511.1692474,482.6700787,490.5200912,502.6577791,472.0221873,478.2788756,493.6484086,463.6226883,478.2788756
511.4668801,483.0613589,490.656766,503.0412684,472.4744382,478.7220198,494.0269704,464.0673274,478.7220198
511.7616313,483.4504523,490.8073388,503.4205839,472.924182,479.1624899,494.4013906,464.5094886,479.1624899
512.0535761,483.8373683,490.9690599,503.7959536,473.3714252,479.6002944,494.7718596,464.9491803,479.6002944
